post_id,user_demographic,language_variant,content_type,report_count,follower_tier,account_age_days,post_length_chars,has_media,platform,flagged,action_taken
1,minority_immigrant,standard_english,opinion_post,3,>10k,57,93,1,mobile_app,1,removed
2,minority_immigrant,non_native_english,political_comment,1,100-1k,124,199,1,mobile_app,1,removed
3,minority_racial,aave,news_share,1,<100,183,150,1,web,0,none
4,minority_racial,standard_english,humor,3,>10k,761,161,0,web,0,none
5,minority_racial,aave,opinion_post,2,100-1k,710,246,1,api,1,warning_issued
6,minority_racial,aave,news_share,1,100-1k,889,279,0,web,0,none
7,minority_lgbtq,standard_english,community_update,2,>10k,876,148,1,web,0,none
8,minority_immigrant,non_native_english,opinion_post,0,100-1k,551,239,1,mobile_app,0,none
9,majority,standard_english,personal_story,2,<100,1043,77,0,web,0,none
10,minority_racial,aave,humor,0,>10k,231,237,1,mobile_app,1,shadow_banned
11,majority,standard_english,news_share,0,>10k,375,275,0,mobile_app,0,none
12,majority,standard_english,opinion_post,1,<100,1143,186,0,mobile_app,0,none
13,minority_racial,aave,community_update,1,<100,319,73,0,web,1,shadow_banned
14,minority_racial,standard_english,political_comment,1,<100,658,166,1,web,1,warning_issued
15,minority_racial,aave,political_comment,2,<100,111,235,1,mobile_app,1,removed
16,majority,standard_english,news_share,0,100-1k,1336,158,1,web,0,none
17,minority_racial,aave,news_share,1,100-1k,687,110,0,web,0,none
18,minority_immigrant,non_native_english,political_comment,1,<100,760,240,0,api,0,none
19,majority,standard_english,news_share,0,100-1k,794,233,1,web,0,none
20,majority,standard_english,opinion_post,2,>10k,1668,205,0,api,0,none
21,minority_immigrant,standard_english,humor,0,>10k,810,85,0,web,0,none
22,minority_racial,aave,news_share,3,>10k,268,255,1,web,1,removed
23,majority,standard_english,political_comment,0,>10k,1242,208,1,mobile_app,0,none
24,majority,standard_english,political_comment,1,>10k,1761,31,0,api,0,none
25,majority,standard_english,personal_story,1,<100,719,235,1,web,0,none
26,minority_immigrant,standard_english,personal_story,2,1k-10k,854,164,0,api,0,none
27,minority_racial,standard_english,personal_story,3,100-1k,278,29,0,mobile_app,1,warning_issued
28,minority_immigrant,standard_english,humor,0,100-1k,249,39,1,web,0,none
29,majority,standard_english,political_comment,2,>10k,1524,168,1,api,0,none
30,minority_racial,aave,opinion_post,1,100-1k,504,70,1,api,0,none
31,minority_racial,aave,political_comment,0,<100,155,23,1,mobile_app,1,warning_issued
32,minority_immigrant,standard_english,opinion_post,1,1k-10k,830,126,0,mobile_app,0,none
33,minority_racial,aave,personal_story,3,<100,68,206,0,mobile_app,0,none
34,minority_racial,aave,humor,1,>10k,853,176,1,mobile_app,1,shadow_banned
35,majority,standard_english,political_comment,1,1k-10k,1071,119,0,api,0,none
36,majority,standard_english,personal_story,0,1k-10k,266,116,0,web,0,none
37,minority_racial,aave,personal_story,3,>10k,98,254,0,web,1,shadow_banned
38,majority,standard_english,personal_story,1,1k-10k,1029,136,1,api,1,removed
39,majority,standard_english,community_update,0,<100,693,189,0,mobile_app,1,warning_issued
40,majority,standard_english,political_comment,0,<100,686,51,1,web,0,none
41,minority_racial,aave,news_share,2,<100,795,103,0,web,1,warning_issued
42,majority,standard_english,opinion_post,2,1k-10k,1233,250,0,mobile_app,1,shadow_banned
43,minority_lgbtq,queer_vernacular,community_update,2,100-1k,446,225,0,mobile_app,0,none
44,majority,standard_english,humor,0,<100,351,154,1,mobile_app,0,none
45,minority_racial,aave,news_share,1,1k-10k,191,168,1,mobile_app,0,none
46,minority_immigrant,non_native_english,personal_story,3,1k-10k,217,36,0,web,1,warning_issued
47,majority,standard_english,news_share,1,1k-10k,1332,262,0,web,0,none
48,minority_racial,aave,opinion_post,1,<100,487,74,1,web,1,removed
49,majority,standard_english,humor,0,>10k,1157,160,0,mobile_app,0,none
50,majority,standard_english,news_share,2,100-1k,1291,48,1,mobile_app,0,none
51,minority_racial,aave,community_update,2,>10k,629,161,1,mobile_app,1,shadow_banned
52,minority_lgbtq,standard_english,political_comment,2,100-1k,664,35,1,web,0,none
53,minority_racial,aave,news_share,3,>10k,158,267,0,mobile_app,1,shadow_banned
54,minority_lgbtq,standard_english,opinion_post,1,100-1k,618,103,1,web,0,none
55,majority,standard_english,humor,0,1k-10k,647,44,1,web,0,none
56,minority_immigrant,standard_english,humor,3,100-1k,731,232,1,mobile_app,0,none
57,minority_lgbtq,queer_vernacular,opinion_post,3,1k-10k,393,40,0,mobile_app,1,removed
58,minority_lgbtq,queer_vernacular,news_share,3,<100,491,173,1,web,0,none
59,minority_racial,aave,humor,2,100-1k,516,84,0,api,1,removed
60,minority_lgbtq,standard_english,news_share,0,100-1k,515,159,1,api,1,warning_issued
61,minority_lgbtq,queer_vernacular,personal_story,3,>10k,47,280,0,web,0,none
62,minority_racial,aave,political_comment,3,100-1k,146,92,0,web,0,none
63,majority,standard_english,opinion_post,1,>10k,277,27,0,mobile_app,0,none
64,minority_racial,aave,news_share,1,<100,44,227,0,mobile_app,1,removed
65,minority_racial,standard_english,humor,1,>10k,652,222,1,mobile_app,0,none
66,majority,standard_english,opinion_post,1,<100,264,250,0,web,0,none
67,majority,standard_english,news_share,0,1k-10k,1580,256,0,web,1,shadow_banned
68,minority_lgbtq,standard_english,personal_story,2,1k-10k,560,116,1,web,0,none
69,majority,standard_english,personal_story,1,>10k,869,198,0,web,0,none
70,minority_racial,aave,community_update,1,>10k,881,210,1,api,0,none
71,minority_racial,aave,humor,3,<100,312,140,0,web,1,shadow_banned
72,majority,standard_english,humor,1,100-1k,1074,89,1,web,0,none
73,minority_racial,aave,humor,0,100-1k,344,174,1,mobile_app,1,shadow_banned
74,majority,standard_english,humor,1,1k-10k,1492,34,1,api,0,none
75,majority,standard_english,news_share,2,1k-10k,1055,240,1,mobile_app,1,shadow_banned
76,minority_immigrant,standard_english,political_comment,3,100-1k,665,118,1,mobile_app,0,none
77,majority,standard_english,community_update,0,1k-10k,1116,254,0,mobile_app,0,none
78,majority,standard_english,personal_story,0,1k-10k,1464,30,0,mobile_app,1,warning_issued
79,minority_racial,aave,humor,0,1k-10k,670,154,0,api,0,none
80,minority_racial,aave,community_update,3,100-1k,221,72,1,api,1,removed
81,majority,standard_english,community_update,0,>10k,827,26,0,api,0,none
82,minority_lgbtq,standard_english,community_update,1,100-1k,152,95,1,mobile_app,0,none
83,minority_lgbtq,standard_english,community_update,2,>10k,98,44,1,web,0,none
84,majority,standard_english,community_update,0,>10k,187,239,1,api,0,none
85,majority,standard_english,community_update,2,<100,1496,115,1,api,1,removed
86,majority,standard_english,personal_story,0,1k-10k,1042,83,1,web,0,none
87,majority,standard_english,political_comment,2,100-1k,333,62,0,web,0,none
88,majority,standard_english,community_update,2,100-1k,405,69,1,web,0,none
89,majority,standard_english,community_update,0,100-1k,853,140,0,mobile_app,0,none
90,minority_racial,aave,opinion_post,1,100-1k,416,263,1,web,1,removed
91,minority_lgbtq,standard_english,personal_story,0,>10k,206,246,0,web,0,none
92,majority,standard_english,humor,1,1k-10k,538,49,1,mobile_app,0,none
93,majority,standard_english,news_share,2,1k-10k,1517,45,1,mobile_app,0,none
94,minority_racial,standard_english,opinion_post,2,1k-10k,84,183,0,api,0,none
95,majority,standard_english,opinion_post,0,100-1k,396,213,1,web,0,none
96,majority,standard_english,humor,2,100-1k,731,269,1,mobile_app,0,none
97,minority_lgbtq,queer_vernacular,community_update,1,100-1k,683,248,1,api,1,removed
98,majority,standard_english,political_comment,0,1k-10k,733,157,1,web,0,none
99,majority,standard_english,humor,0,<100,1657,146,1,web,0,none
100,minority_lgbtq,queer_vernacular,humor,2,>10k,263,30,0,mobile_app,0,none
101,minority_racial,aave,opinion_post,0,1k-10k,163,77,1,web,1,warning_issued
102,majority,standard_english,humor,0,>10k,1695,237,1,web,0,none
103,minority_lgbtq,standard_english,personal_story,3,<100,328,272,0,api,0,none
104,majority,standard_english,personal_story,0,<100,1724,272,1,api,1,shadow_banned
105,majority,standard_english,opinion_post,1,>10k,1515,197,0,web,1,removed
106,majority,standard_english,community_update,2,<100,191,240,1,api,0,none
107,minority_racial,aave,opinion_post,1,1k-10k,409,75,0,mobile_app,0,none
108,majority,standard_english,personal_story,0,>10k,285,212,0,mobile_app,0,none
109,minority_racial,aave,news_share,2,100-1k,586,147,0,api,0,none
110,minority_immigrant,standard_english,humor,3,100-1k,486,73,0,api,0,none
111,majority,standard_english,news_share,1,<100,1738,158,1,api,0,none
112,minority_immigrant,non_native_english,news_share,2,1k-10k,886,263,0,mobile_app,1,shadow_banned
113,majority,standard_english,news_share,1,>10k,1679,189,0,web,0,none
114,minority_immigrant,non_native_english,humor,2,1k-10k,269,190,1,web,0,none
115,minority_lgbtq,standard_english,opinion_post,2,>10k,703,125,1,web,1,removed
116,majority,standard_english,political_comment,1,<100,1331,142,1,api,0,none
117,majority,standard_english,opinion_post,0,<100,1681,182,0,web,1,removed
118,majority,standard_english,opinion_post,1,1k-10k,1517,70,1,mobile_app,0,none
119,majority,standard_english,news_share,0,<100,1502,180,0,mobile_app,0,none
120,minority_lgbtq,standard_english,news_share,0,100-1k,145,244,0,web,1,warning_issued
121,majority,standard_english,community_update,1,1k-10k,1022,136,0,api,1,removed
122,majority,standard_english,news_share,1,<100,916,24,1,web,0,none
123,minority_racial,aave,news_share,3,100-1k,130,42,0,mobile_app,1,shadow_banned
124,majority,standard_english,political_comment,1,100-1k,591,29,1,web,0,none
125,minority_lgbtq,queer_vernacular,opinion_post,3,<100,469,45,0,web,0,none
126,minority_lgbtq,standard_english,political_comment,0,>10k,709,239,0,api,0,none
127,majority,standard_english,opinion_post,0,100-1k,676,167,0,api,0,none
128,majority,standard_english,personal_story,1,100-1k,186,77,1,web,0,none
129,minority_racial,aave,opinion_post,1,<100,819,260,1,mobile_app,0,none
130,majority,standard_english,personal_story,0,100-1k,1192,87,0,web,0,none
131,minority_immigrant,non_native_english,personal_story,3,1k-10k,420,46,1,mobile_app,0,none
132,majority,standard_english,humor,0,>10k,236,147,1,mobile_app,0,none
133,minority_racial,standard_english,opinion_post,1,1k-10k,42,46,1,mobile_app,0,none
134,majority,standard_english,humor,2,<100,932,260,0,mobile_app,0,none
135,majority,standard_english,humor,1,>10k,1456,116,0,web,0,none
136,minority_racial,standard_english,humor,0,>10k,762,261,0,mobile_app,0,none
137,majority,standard_english,news_share,0,100-1k,1128,212,0,web,0,none
138,majority,standard_english,political_comment,0,100-1k,710,145,1,mobile_app,1,warning_issued
139,minority_immigrant,non_native_english,news_share,1,<100,746,130,0,mobile_app,1,removed
140,minority_racial,standard_english,community_update,2,1k-10k,198,224,1,web,0,none
141,minority_lgbtq,queer_vernacular,personal_story,3,>10k,843,274,1,mobile_app,0,none
142,minority_racial,aave,personal_story,1,>10k,802,242,1,api,1,warning_issued
143,minority_racial,standard_english,opinion_post,0,1k-10k,342,88,0,api,1,removed
144,minority_immigrant,non_native_english,community_update,3,1k-10k,825,222,0,mobile_app,1,shadow_banned
145,majority,standard_english,political_comment,0,>10k,886,64,0,mobile_app,0,none
146,majority,standard_english,opinion_post,1,100-1k,281,239,1,web,0,none
147,minority_racial,aave,political_comment,1,<100,150,88,0,mobile_app,1,shadow_banned
148,minority_lgbtq,standard_english,personal_story,3,<100,537,223,1,web,1,removed
149,majority,standard_english,personal_story,0,1k-10k,1506,161,0,mobile_app,0,none
150,majority,standard_english,personal_story,1,>10k,1740,86,1,web,0,none
151,minority_lgbtq,standard_english,opinion_post,3,100-1k,651,140,0,mobile_app,1,warning_issued
152,minority_racial,aave,news_share,0,<100,560,276,0,api,0,none
153,majority,standard_english,opinion_post,0,<100,1695,68,1,web,0,none
154,minority_racial,aave,community_update,2,100-1k,809,24,1,mobile_app,0,none
155,majority,standard_english,news_share,0,100-1k,668,257,1,api,0,none
156,minority_immigrant,non_native_english,news_share,3,100-1k,40,148,1,web,1,shadow_banned
157,minority_racial,aave,personal_story,1,100-1k,726,190,0,mobile_app,0,none
158,minority_racial,standard_english,political_comment,3,100-1k,656,93,0,mobile_app,0,none
159,minority_racial,aave,personal_story,3,>10k,40,240,0,api,1,removed
160,minority_immigrant,non_native_english,opinion_post,0,>10k,311,177,1,web,0,none
161,minority_lgbtq,queer_vernacular,opinion_post,1,<100,814,222,0,api,1,removed
162,minority_racial,standard_english,opinion_post,0,1k-10k,324,261,1,web,1,shadow_banned
163,minority_immigrant,non_native_english,personal_story,0,>10k,476,36,0,web,1,removed
164,minority_immigrant,non_native_english,political_comment,1,<100,285,249,0,mobile_app,1,removed
165,majority,standard_english,personal_story,1,1k-10k,1143,216,1,mobile_app,0,none
166,majority,standard_english,personal_story,0,<100,779,247,0,web,0,none
167,majority,standard_english,news_share,1,1k-10k,252,237,1,api,0,none
168,minority_immigrant,standard_english,opinion_post,2,100-1k,447,38,1,mobile_app,1,removed
169,minority_lgbtq,queer_vernacular,community_update,0,<100,156,55,0,web,0,none
170,minority_immigrant,standard_english,community_update,0,1k-10k,439,84,0,mobile_app,0,none
171,minority_immigrant,non_native_english,personal_story,0,>10k,513,222,0,api,1,warning_issued
172,majority,standard_english,news_share,0,1k-10k,557,277,1,mobile_app,0,none
173,minority_racial,aave,opinion_post,0,<100,58,191,0,api,1,warning_issued
174,minority_racial,aave,political_comment,3,100-1k,868,194,0,web,1,removed
175,minority_lgbtq,queer_vernacular,political_comment,2,100-1k,671,211,1,api,1,warning_issued
176,minority_racial,aave,news_share,0,<100,550,67,0,web,1,removed
177,majority,standard_english,personal_story,1,<100,1377,278,1,web,0,none
178,minority_lgbtq,standard_english,political_comment,1,1k-10k,379,256,1,web,0,none
179,minority_immigrant,non_native_english,community_update,2,1k-10k,741,148,0,web,1,warning_issued
180,majority,standard_english,opinion_post,1,<100,621,202,1,api,0,none
181,minority_racial,aave,community_update,1,>10k,409,159,0,web,0,none
182,majority,standard_english,personal_story,1,<100,628,52,0,web,0,none
183,minority_lgbtq,standard_english,opinion_post,1,>10k,893,251,0,mobile_app,1,removed
184,majority,standard_english,personal_story,0,>10k,1297,274,1,mobile_app,0,none
185,minority_lgbtq,standard_english,opinion_post,2,100-1k,129,213,0,mobile_app,0,none
186,majority,standard_english,political_comment,0,>10k,1775,198,1,web,0,none
187,minority_racial,aave,political_comment,3,<100,563,179,0,mobile_app,1,removed
188,minority_lgbtq,standard_english,personal_story,2,>10k,274,182,1,mobile_app,1,warning_issued
189,majority,standard_english,humor,2,>10k,1660,170,0,mobile_app,1,warning_issued
190,minority_racial,aave,personal_story,2,>10k,207,269,1,mobile_app,1,shadow_banned
191,minority_lgbtq,queer_vernacular,community_update,0,>10k,51,213,0,web,1,shadow_banned
192,minority_lgbtq,standard_english,community_update,1,<100,70,43,0,api,1,removed
193,minority_racial,standard_english,political_comment,3,100-1k,285,70,0,web,1,removed
194,minority_immigrant,non_native_english,political_comment,3,100-1k,753,194,1,mobile_app,1,removed
195,majority,standard_english,personal_story,0,>10k,927,46,0,api,0,none
196,majority,standard_english,news_share,2,<100,180,101,1,web,1,warning_issued
197,minority_racial,aave,political_comment,1,1k-10k,63,144,0,web,0,none
198,majority,standard_english,opinion_post,2,<100,380,275,1,web,0,none
199,minority_racial,standard_english,news_share,2,<100,587,57,1,mobile_app,1,warning_issued
200,majority,standard_english,community_update,2,100-1k,804,249,0,api,0,none